link_name,profile,loc,type
"SARI -IGANMU PRIMARY SCHOOL II,  Oke-Oja",2180,Ajeromi LGA,State owned
"SARI IGANMI NUR/PRY SCHOOL 1,  Oke-Oja",2659,Ajeromi LGA,State owned
"SARI IGANMU SENIOR SECONDARY  SCHOOL,  Coker ",2159,Apapa,State owned
SARI-IGANMU JUNIOR SECONDARY SCHOOL,547,Apapa,State owned
"SARI-IGANMU NURSERYPRIMARY SCHOOL, Sari-Iganmu ",248,Apapa,State owned
SARI-IGANMU PRIMARY SCHOOL II,115,Ajeromi LGA,State owned
"SARINTER COLLEGE, Agric",79012,Ikorodu,Privately owned
"SASA COMM SNR HIGH SCHOOL,  Sasa.",1040,Alimosho,State owned
"SASA COMMUNITY JUNIOR HIGH SCHOOL,   Sasa.",1871,Alimosho,State owned
"SASA NURSERY/PRIMARY SCHOOL,  Sasa",161,Alimosho,State owned
"SATELLITE JUNIOR SECONDARY SCHOOL, Abule Ado",536,Amuwo-Odofin,State owned
SATELLITE SENIOR SEC SCHOOL. Satellite,1839,Amuwo-Odofin,State owned
"SATELLITE SENIOR SECONDARY SCHOOL, Satellite Town",12223,Alimosho,State owned
"SATELLITE TOWN NUR/PRY SCHL 1,  Satellite Town",219,Amuwo-Odofin,State owned
"SATELLITE TOWN NUR/PRY SCHOOL 2,  Satellite Town",2161,Amuwo-Odofin,State owned
"SATHYA SAI NUR/PRY SCHOOL, Eti-Osa",4109,Eti-Osa,Privately owned
"SATSON NUR. & PRY SCHOOL, Alapere-Ketu",7337,Kosofe,Privately owned
"SAVIOUR'S PRIMARY SCHOOL, Orile-Agbado",2895,Ifako/Ijaiye,State owned
"SAVIOURS PRIMARY SCHOOL, Obanikoro",2403, Shomolu,State owned
"SCEPTRE COMPREHESIVE COLLEGE, Ojota",3098,Kosofe,Privately owned
"SCEPTRE INTERNATIONAL SCHOOL, Orioke-Ogudu",3342,Kosofe,Privately owned
"SCHOLARS BRIDGE NUR. & PRY SCHOOL, Ikorodu ",12260,Ikorodu,Privately owned
Scholars College,105838,,
"SCHOLARS CREST INTERNATIONAL SCHOOL, Omole",3094,Kosofe,Privately owned
"SCHOLARS CREST INTERNATIONAL SCHOOL, Omole Phase 2",49127, Ikeja,Privately owned
"SCHOLWIN  FOUNDATION MONTESSORI SCHOOL, Cement",49022, Ikeja,Privately owned
"SCHOOL MASTERS ACADEMY, Ajah",4550,Eti-Osa,Privately owned
"SCIENCE CENTRE, Ojo Area ",2361,Ojo,State owned
"SCOOBY DOO NURSERY & PRIMARY SCHOOL, Egbeda",106115,Alimosho,Privately owned
"SCOTTFIELD INTERNATIONAL SCHOOL, Festac Assess Road",5692,Amuwo-Odofin,Privately owned
"SCOTTIES PRIVATE SCHOOL, Surulere",4080,Surulere,Privately owned
"SEA BEACH PRIMARY SCHOOL, Ajido",448, Badagry ,State owned
"SEA BREEZE PRIMARY SCHOOL, Tolu",109,Ajeromi LGA,State owned
"SEAGATE COLLEGE, Apapa G.R.A",5670,Apapa,Privately owned
"SEAT OF WISDOM MONTESSORI SCHOOL, Maryland",3325,Kosofe,Privately owned
"SEATOS COLLEGE, Oke Ota-Ona",10974,Ikorodu,Privately owned
"SEATOS PRIVATE NUR/PRY SCHOOL, Oke Ota-Ona",10972,Ikorodu,Privately owned
"SEBIS NUR/PRY SCHOOL, Alakuko",3646,Ifako/Ijaiye,Privately owned
"SEDA PHILIP MONTESSORI SCHOOL, Agege",3948,Agege,Privately owned
"SEED OF MESSIAH COLLEGE, Ejigbo",3387,Oshodi-Isolo,Privately owned
"SEED OF MESSIAH NURSERY/PRIMARY, Oke Afa ",6619,Oshodi-Isolo,Privately owned
"SELECT INTERNATIONAL COLLEGE, Aguda",5655,Surulere,Privately owned
"SELIAT INTERNATIONAL NURSERY & PRIMARY, Egbeda",5416,Alimosho,Privately owned
"SENTINEL NURSERY/PRIMARY SCHOOL, Ojokoro",8617,Alimosho,Privately owned
"SEPAK NUR & PRY SCHOOL, Mushin",3508,Mushin,Privately owned
"SEPHINE PAT NURSERY & PRIMARY SCHOOL, Gbagada",4899, Shomolu,Privately owned
"SEPHYS SCHOOL (MONTESSORI), Ikorodu",8871,Ikorodu,Privately owned
"SESAME KIDDIES NURSERY & PRIMARY SCHOOL, Ojuelegba",4522,Surulere,Privately owned
"SETMA COMPREHENSIVE COLLEGE, Odogunyan",90351,Ikorodu,Privately owned
"SEVENTHDAY ADVENTIST PRY SCHL,  Abule-Oja",1960,Lagos-Mainland,State owned
"SEYLEK CITY COLLEGE, Ebute Metta",64356,Lagos-Mainland,Privately owned
"SEYLEK NURSERY & PRIMARY SCHOOL, Ebute Metta",11511,Lagos-Mainland,Privately owned
"SHADEB NURSERY & PRIMARY SCHOOL, Ejigbo  ",4312,Oshodi-Isolo,Privately owned
"SHADEL INTERNATIONAL HIGH SCHOOL, Olowora",5295,Kosofe,Privately owned
"SHADIA MEMORIAL NURSERY & PRIMARY SCHOOL, Okota",5468,Oshodi-Isolo,Privately owned
"SHALOM KLIFFON SECONDARY SCHOOL, Ayobo",5187,Alimosho,Privately owned
"SHALOM NURSERY PRIMARY SCHOOL, Isheri Olofin ",5034,Alimosho,Privately owned
"SHAMS EL DEEN SNR GRAMMAR SCHOOL, Ikorodu",9733,Ikorodu,State owned
SHAMS-EL-DEEN JUNIOR GRAMMAR SCHOOL,889,Ikorodu,State owned
"SHAMSUDEEN ISLAMIC NUR/PRY SCHOOL,  Idioro",2009,Surulere,State owned
"SHAYO-BUK MONTESSORI NURSERY &  PRIMARY SCHOOL, Ojodu",106719,Ikeja,Privately owned
"SHEBAH NURSERY PRIMARY SCHOOL,Kosofe",105719,Kosofe,Privately owned
"SHEBOL-R- NURSERY & PRIMARY SCHOOL, Ilasamaja",4295,Oshodi-Isolo,Privately owned
"SHEFSON PRIVATE SCHOOL, Ebute-Metta",8839,Lagos-Mainland,Privately owned
"SHEIKH ABUBAKAR MAHMUD GUMI MEM. NUR & PRY SCH, Okokomaiko ",5171,Ojo,Privately owned
"SHEKINAH GRACE INTERNATIONAL SCHOOL, Idimu Titun",6918,Alimosho,Privately owned
"SHELOY DAY NURSERY/PRIMARY SCHOOL, Akowonjo",4065,Alimosho,Privately owned
"SHEPHERD HILL PRIMARY SCHOOL, Obanikoro",2411, Shomolu,State owned
"SHERRY COCO ANGELS NUR/PRY SCHOOL, Egbeda",48731,Alimosho,Privately owned
"SHERWOOD PRIVATE SCHOOL, Oworonshoki",6549,Kosofe,Privately owned
"SHERWOOD SECONDARY SCHOOL, Oworosoki",6559,Kosofe,Privately owned
"SHESFUN SCHOOLS, Abaranje-Ikotun",2941,Alimosho,Privately owned
"SHILOH NURS & PRY SCHOOL, Oke-Koto",6828,Agege,Privately owned
"SHININGSTAR NUR & PRY SCHOOL, Gbagada",5339,Kosofe,Privately owned
"SHITTA PRIMARY SCHOOL,  Surulere",342,Surulere,State owned
"SHOGUNLE HOME ECONOMICS CENTRE, Shogunle",2395,Oshodi-Isolo,State owned
SHOMOLU LGEA COMPUTER CENTRE,12437, Shomolu,State owned
"SHOMOLU LOCAL GOVERNMENT PRIMARY SCHOOL, Barga Shomolu",2498, Shomolu,State owned
SHOMOLU PRIMARY SCHOOL,297, Shomolu,State owned
SHOMOLU SENIOR HIGH SCHOOL,12434, Shomolu,Privately owned
"SHOMS COLLEGE, Aguda",76020,Surulere,Privately owned
"SHOREFIELD MONTESSORI NUR. PRY SCHOOL, Magodo",9165,Kosofe,Privately owned
"SHYLLON PRIMARY SCHOOL,  Ilupeju",2908,,State owned
"SIAM FOUNDATION COLLEGE, Odogunyan",48886,Ikorodu,Privately owned
"SIDDY SYDNEY NURSERY & PRIMARY SCHOOL, Orile Agege",105524,Agege,Privately owned
"SIJUADE NUR/PRY SCHOOL, Surulere",2039,Surulere,State owned
"SILVABETH PRIVATE SCHOOL, Itire",10292, Mushin,Privately owned
"SILVABETH PRIVATE SCHOOL, Itire",4426,Surulere,Privately owned
"SILVABETH PRIVATE SCHOOL, Itire",4526,Mushin,Privately owned
"SILVAETH NURSERY & PRIMARY SCHOOL, Satellite",106714,Amuwo-Odofin,Privately owned
"SILVER FOUNTAIN COLLEGE, Alimosho",5392,Alimosho,Privately owned
"SILVER SPRING COLLEGE, Ikotun",6109,Alimosho,Privately owned
"SILVER SPRINGS SCHOOLS, Ijeshatedo",6113,Surulere,Privately owned
"SILVER SPRINGS SCHOOLS, Ikotun",6093,Alimosho,Privately owned
"SILVERDALE HIGH SCHOOL, Iyana-Ipaja",3062,Alimosho,Privately owned
"SILVERDALE NUR/PRY SCHOOL, Alimosho",3049,Alimosho,Privately owned
Silvergate Heritage n/p school,105779,,Privately owned
"SILVERSANDS HALL SCHOOL, Lekki",106702,Eti-Osa,Privately owned
"SILVERWOOD NURSERY & PRIMARY SCHOOL, Maryland",106419,Kosofe,Privately owned
"SIMMIC HIGH SCHOOL, Ikotun",5650,Alimosho,Privately owned
"SIMMIC NURSERY & PRIMARY SCHOOL, Ikotun",5648,Alimosho,Privately owned
"SINGLEGATE NURSERY & PRIMARY SCHOOL, Akowonjo",4414,Alimosho,Privately owned
"SINGLETON NUR/PRY SCHOOL, Iyana-Odo",59219,Alimosho,Privately owned
"SIRATIL MUSTAQIM NUR & PRY SCHOOLS, Ajah",6911,Eti-Osa,Privately owned
"SITO GBETHROME JUNIOR SECONDARY SCHOOL, Gbethrome",540,Badagry,State owned
"SITO-GBETHROME SENIOR SECONDARY SCHOOL, Gbethrome",1076,Badagry,State owned
"SITRAC COLLEGE, Mowo Phase 2",48880, Badagry ,Privately owned
"SJ CHOSEN NURSERY PRIMARY SCHOOL, Ibeju Lekki",105762,Ibeju-Lekki,Privately owned
"SKIMAR KIDDIES NURSERY & PRIMARY SCHOOL, Olowora",4907,Kosofe,Privately owned
"SKY FOUNTAIN COLLEGE, Ijegun",105529,Alimosho,Privately owned
"SKY FOUNTAIN COLLEGE, Iyana-Ipaja",105300,Alimosho,Privately owned
Sky Top College,105826,,
"SKYBLUE NURSERY/PRIMARY SCHOOL, Igbogbo",104973,Ikorodu,Privately owned
"SKYLIGHT COMPREHENSIVE COLLEGE, Ikola",48935,Alimosho,Privately owned
"SKYLINK CHILDREN SCHOOL, Owutu",7693,Ikorodu,Privately owned
"SKYOP NUR & PRY SCHOOL, Abule Egba",6939,Alimosho,Privately owned
"SKYOP SECONDARY SCHOOL, Oke-Odo ",6973,Alimosho,Privately owned
"SKYVISION SCHOOLS, Ijanikin",106637,Ojo,Privately owned
"SMAAKS NURSERY & PRIMARY SCHOOL, Aboru",106426,Alimosho,Privately owned
"SMAC COLLEGE, Coker Iganmu",5695,Surulere,Privately owned
"SMAC NURSERY & PRIMARY SCHOOL, Coker",3765,Surulere,Privately owned
"SMALLVILLE MONTESSORI, Omole",105930,Ikeja,Privately owned
"SODIMM NURSERY PRIMARY SCHOOL, Ijora-Badia",64430,Apapa,Privately owned
"SOFWAT ARABIC & ISLAMIC COLLEGE, Alakuko",106244,Ifako/Ijaiye,Privately owned
"SOGUNLE PRY SCHOOL,  Ikeja",2325,,State owned
"SOKUNBI PRIMARY SCHOOL, Mushin",1612,,State owned
"SOLA DAY NURSERY & PRIMARY SCHOOL, Bariga",4184, Shomolu,Privately owned
"SOLA OLADAPO NURSERY & PRIMARY SCHOOL, Mushin.",106595,Mushin,Privately owned
"SOLACE NURSERY & PRIMARY SCHOOL, Lad-Lak",3786, Shomolu,Privately owned
"SOLARD COMPREHESIVE COLLEGE, Mushin",64466, Mushin,Privately owned
"SOLARD NURSERY & PRIMARY SCHOOL, Mushin",7113, Mushin,Privately owned
"SOLBETH NURSERY & PRIMMARY SCHOOL, Ikotun",4415,Alimosho,Privately owned
"SOLEIL HIGH SCHOOL, Aguda",49405,Surulere,Privately owned
"SOLID FOUNDATION CHILDREN SCHOOL, Olodi-Apapa",3644,Ajeromi LGA,Privately owned
"SOLID HERITAGE SCHOOL, Ojodu",49342,Ikeja,Privately owned
"SOLID INFANT NUR/PRY SCHOOL, Ojo",3422,Ojo,Privately owned
"SOLID ROCK CHILDRENS SCHOOL, Ikate",7862,Surulere,Privately owned
"SOLID STRUCTURE SCHOOL, Ifakoijaiye",3026,Ifako/Ijaiye,Privately owned
"SOLIDSTEPS COLLEGE, Ikotun",106258,Alimosho,Privately owned
"SOLIKA JUNIOR HIGH SCHOOL, Festac Town",106301,Amuwo-Odofin,Privately owned
"SOLIKA SENIOR  HIGH SCHOOL, Festac Town",3832,Amuwo-Odofin,Privately owned
"SOLOMON GRACE NUR & PRY SCHOOL, Abule Egba  ",64342,Ifako/Ijaiye,Privately owned
"SOLOMON GRACE SECONDARY SCHOOL, Abule-Egba",10539,Ifako/Ijaiye,Privately owned
"SOLOMON MEMORIAL PRY SCHOOL, Epe",2677,Epe,State owned
"SOM-DEBIS CONTINENTAL NURSERY & PRIMARY SCHOOL, Egbeda",106451,Alimosho,Privately owned
"SOMERSET COLLEGE, Masha Rd",3825,Surulere,Privately owned
SOMOLU COMPUTER CENTRE,1456, Shomolu,State owned
"SONAH KRIST NURSERY & PRIMARY SCHOOL,  Ejigbo",3923,Oshodi-Isolo,Privately owned
"SONIC PRIVATE SCHOOL, Ilasamaja",49171,Oshodi-Isolo,Privately owned
"SONMORI SENIOR COMPREHENSIVE HIGH SCHOOL 1,  Ifako-Ijaye  ",2897,Ifako/Ijaiye,State owned
SONMORI SENIOR COMPREHENSIVE HIGH SCHOOL 2,1732,Ifako/Ijaiye,State owned
"SOPHEM HIGH SCHOOL, Mosan",106038,Alimosho,Privately owned
"SOPHEM NUR/PRY SCHOOL, Ipaja",11058,Alimosho,Privately owned
"SOPHIA SAMUEL KIDDIES SCHOOL, Ojo",3643,Ojo,Privately owned
SOREK NURSERY & PRIMARY SCHOOL,51014,Alimosho,Privately owned
"SORLAG NURSERY/PRIMARY SCHOOL, Olowora",49140,Kosofe,Privately owned
"SOROPTIMIST INTERNATIONAL L/S NUR & PRY SCHL, Lawanson",12472,Surulere,Privately owned
"SOS CHILDREN VILLAGE, VOCATIONAL TRAINING CENTRE, Isolo",1807,Oshodi-Isolo,Privately owned
"SOTERIA NURSERY/PRIMARY SCHOOL, Satellite Town",8885,Amuwo-Odofin,Privately owned
"SOUND STEPS INTL NUR/PRY SCHOOL, Aguda",6997,Surulere,Privately owned
"SOUNDHOPE PRIVATE ACADEMY, Baruwa ipaja",5729,Alimosho,Privately owned
"SOUNDMINDS NUR/PRY SCHOOL, Alimosho",49220,Alimosho,Privately owned
"SOUTHALL KIDS NURSERY & PRIMARY SCHOOL, Iyana Ipaja",106152,Alimosho,Privately owned
"SOUTHFIELD CHILDREN ACADEMY  COLLEGE, Shomolu",106045,Shomolu,Privately owned
"SOUTHMEAD INTERNATIONAL SCHOOL, Palm Groove",8622, Mushin,Privately owned
"SOVEREIGN LORD ACADEMY, Egbeda",49384,Alimosho,Privately owned
"SOYEJ NURSERY & PRIMARY SCHOOL, Badagry",105919,Badagry,Privately owned
"SPARKS ACADEMY (NURSERY & PRIMARY), Aguda",3350,Surulere,Privately owned
"SPARKS ACADEMY, Aguda",6807,Surulere,Privately owned
"SPECIAL CHILDREN APPROVED SCHOOL, Mushin.",10594,,State owned
"SPECIAL CORRECTIONAL APPROVED SCH FOR BOYS, Oregun Ikeja.",11846,,State owned
"SPLENDID STEPS NURSERY & PRIMARY SCHOOL, Lekki",105991,Eti-Osa,Privately owned
"SPRING CHILDRENS SCHOOL, Ago-Okota",3052,Oshodi-Isolo,Privately owned
"SPRING OF LIFE NUR/PRY SCHOOL, Ajah",91556, Ibeju-Lekki,Privately owned
"SPRING OUT NURSERY PRIMARY SCHOOL, Meiran",105768,Ifako/Ijaiye,Privately owned
"SPRINGBOARD COLLEGE, Egbe",2946,Alimosho,Privately owned
"SPRINGBOARD SCHOOL, Egbe",2945,Alimosho,Privately owned
"SPRINGFIELD NURSERY & PRIMARY SCHOOL, Ketu",91649,Kosofe,Privately owned
"ST AGNES  NUR/PRY SCHOOL,  Maryland",1167,Kosofe,State owned
ST ANGNES PRIMARY SCHOOL,1531,Lagos-Mainland,State owned
"ST AUGUSTINE'S COLLEGE, Idumu-Titun",64463,Alimosho,Privately owned
St Caleb Royal N/P,105722,,
ST DAVID'S ANG. PRIMARY SCHOOL,742, Ibeju-Lekki,State owned
"ST DOMINIC CATHOLIC PRY SCHL,Sabo-Yaba",1933,Lagos-Mainland,State owned
"ST FRANCIS PRIMARY SCHOOL,  Maryland",1173,Kosofe,State owned
"ST GEORGES U.N.A. PRY SCHOOL, Ipaja.",162,Alimosho,State owned
"ST GLORIAS COLLEGE, Ikeja-G.R.A",3397, Ikeja,Privately owned
ST JAMES ANGLICAN PRIMARY SCHOOL,458,Epe,State owned
"ST JOAN NURSERY & PRIMARY SCHOOL, Egbeda",9060,Alimosho,Privately owned
ST JOHN'S ANGLICAN PRY SCHOOL,459,Epe,State owned
ST JOHN'S ANGLICAN PRY SCHOOL,460,Epe,State owned
ST JOHN'S ANGLICAN PRY SCHOOL,511,Epe,State owned
"ST JOHN'S R.C.M. SCHOOL, Ayeteju",746, Ibeju-Lekki,State owned
"ST JOHNS ANG. NUR/PRY SCHOOL, Araromi",88,Ajeromi LGA,State owned
"ST JOHNS ANGLICAN PRIMARY SCHL,  Imota",826,Ikorodu,State owned
"ST JOHNS ANGLICAN PRY SCHL,  Idi-Oro",1602,,State owned
"ST JOHNS COLLEGE, Palm-Groove",3545, Mushin,Privately owned
"ST JOSEPH PRIMARY SCHOOL,  Surulere",1603,,State owned
"ST JOSEPH SECONDARY SCHOOL, Mangoro",10057,Agege,Privately owned
"ST JOSEPHS CATHOLIC SCHOOL,  Elegbata.",1474,Lagos-Island,State owned
"ST JUDE ANGLICAN PRIMARY SCHOOL,  Mushin",1604,,State owned
"ST LEOS CATHOLIC PRIMARY SCHOOL, Ikoga-Zebbe",449, Badagry ,State owned
"ST LEOs CATHOLIC PRIVATE, Ikeja",3498, Ikeja,Privately owned
"ST MARCS COLLEGE, Iyana-Ejigbo",3632,Oshodi-Isolo,Privately owned
"ST MARCS PRIVATE SCHOOL, Iyana-Ejigbo",3633,Oshodi-Isolo,Privately owned
ST MARK'S R.C.M. SCHOOL,741, Ibeju-Lekki,State owned
"ST MARTINS PRIMARY SCHOOL,  Mushin",1605,,State owned
"ST MARY (R.C.M.) NUR/PRY SCHOOL, Ajegunle",89,Ajeromi LGA,State owned
"ST MARY ANGLICAN NUR & PRY SCHOOL, Igbede ",10743,Ojo,State owned
"ST MATHIAS BOYS PRIMARY SCHOOL, Lafiaji",1470,Lagos-Island,State owned
"ST MATHIAS GIRLS PRIMARY SCHOOL,  Lafiaji",1471,Lagos-Island,State owned
"ST MICHAELS PRIMARY SCHOOL, Mushin",1606,,State owned
"ST NICHOLAS COLLEGE, Kosofe",8419,Kosofe,Privately owned
"ST PATRICK SECONDARY SCHOOL, Ayobo ",106221,Alimosho,Privately owned
"ST PATRICKS CATHOLIC NURSERY/PRIMARY SCHOOL, Ipaja",106086,Alimosho,Privately owned
"ST PATRICKS CATHOLIC PRIMARY SCHOOL, Lagos.",1472,Lagos-Island,State owned
ST PAUL'S ANGLICAN PRIMARY SCHOOL,457,Epe,State owned
"ST PAULS AFRICAN CHURCH PRY SCHL,  Ilupeju",1607,,State owned
"ST PAULS ANG PRIMARY SCH,  Breadfruit.",1892,Lagos-Island,State owned
"ST PAULS ANGLICAN COMPUTER CENTRE,  Idi-Oro",2293, Mushin,State owned
"ST PAULS ANGLICAN PRIMARY SCHOOL,  Idi-Oro ",1608,,State owned
"ST PAULS ANGLICAN PRIMARY SCHOOL,  Isagatedo",2523,Oshodi-Isolo,State owned
"ST PETER'S ANGLICAN PRY SCHOOL, Ikeja",2334,,State owned
"ST PETERS (FAJI) SCHOOL, Lagos Island",1894,Lagos-Island,State owned
"ST PETERS ANG. PRIMARY SCHOOL, Magbon-Alade",740, Ibeju-Lekki,State owned
"ST PETERS BLESSED PRIMARY SCHOOL,  Okekoto",53,Agege,State owned
"ST PETERS CATHOLIC PRIMARY SCHOOL, Agonrin",451, Badagry ,State owned
"ST PHILIPS CATHOLIC  NURSERY PRIMARY SCHOOL, Somolu",49407, Shomolu,Privately owned
"ST PHILIPS PRIMARY SCHOOL,  Odi-Olowo",1609,,State owned
"ST SAVIOUR ANG. NUR/PRY SCH,  Igbaga",1134,Ikorodu,State owned
"ST SAVIOURS PRIMARY SCHOOL, Agege",54,Agege,State owned
"ST STEPHENS WAEC PRIMARY SCHOOL,Lagos.",1893,Lagos-Island,State owned
"ST THERESA CATHOLIC NUR/PRY SCHL,  Apapa",247,Apapa,State owned
"ST THERESAS CATHOLIC PRIVATE SCHOOL, Epe",8527,Epe,Privately owned
"ST THOMAS AQUINAS CATHOLIC NUR. & PRY SCHOOL, Ojo ",8395,Ojo,Privately owned
"ST THOMAS AQUINAS PRIMARY SCHOOL, Mushin",1610,,State owned
"ST THOMAS PRIMARY SCHOOL, Badagry",452, Badagry ,State owned
"ST VINCENTS R.C.M. PRY SCHOOL, Idotun",728, Ibeju-Lekki,State owned
"ST, VINCENT CATHOLIC SECONDARY SCHOOL, Shasha",106485,Alimosho,Privately owned
"ST-GEORGES BOYS NUR/PRY SCHOOL, Falomo",709,Eti-Osa,State owned
"ST-GEORGES GIRLS SCHOOL, Falomo",710,Eti-Osa,State owned
"ST. AGNES PRIMARY SCHOOL,  Sabo ",1942,Lagos-Mainland,State owned
"ST. ALBERT  PRIVATE SCHOOL, Ogba",11495,Ifako/Ijaiye,Privately owned
"ST. ALPHONSUS DE LIGUORI PRIVATE SEC. SCH, Aboru-Iyana Ipaja  ",5897,Alimosho,Privately owned
"ST. AMBROSE COLLEGE, Orile Iganmu ",5677,Ajeromi LGA,Privately owned
"ST. ANDREWS ANGLICAN NUR & PRY SCHOOL, Ipaja",9284,Alimosho,State owned
"ST. ANDREWS COLLEGE, Jakande-Ajangbadi",2876,Ojo,Privately owned
"ST. ANTHONY INTERNATIONAL SECONDARY SCHOOLS, Ijaiye-Ojokoro",4807,Ifako/Ijaiye,Privately owned
ST. AUGUSTINE'S NURSERY &  PRIMARY SCHOOL Idimu-Ejigbo,8460,Oshodi-Isolo,Privately owned
"ST. AUGUSTINES PRIMARY SCHOOL, Basua Shomolu",2493, Shomolu,State owned
"ST. BARTHOLOMEW NURSERY/PRIMARY SCHOOL,Surulere",106027,Surulere,Privately owned
"ST. BARTHOLOMEW SECONDARY SCHOOL, Aguda",106728,Surulere,Privately owned
"ST. BENEDICT SCHOOL, Okota",4172,Oshodi-Isolo,Privately owned
"ST. BERNADETTE NURSERY & PRIMARY SCHOOL, Akoka",3514, Shomolu,Privately owned
"ST. BERNADETTE, Gowon Estate",3341,Alimosho,Privately owned
St. Calebs Royal High School,105845,,
"ST. CATHERINES MODEL SCHOOL, Ojuelegba",6950,Surulere,Privately owned
"ST. CECILIA NURSERY & PRIMARY SCHOOL, Surulere",3969,Surulere,Privately owned
"ST. CHARLES CHILDRENS SCHOOL, Abule-Egba",4832,Alimosho,Privately owned
"ST. DAVIDS ANGLICAN SCHOOL,  Lafiaji.",1903,Lagos-Island,State owned
"ST. FINBARRS COLLEGE, Akoka-Yaba",3359,Lagos-Mainland,Privately owned
"ST. FRANCIS CATHOLIC PRY SCHOOL, Igbooja-Kekere",2509,Ojo,State owned
ST. FRANCIS JUNIOR GRAMMAR SCHOOL,654,Lagos-Mainland,State owned
"ST. GERMAINE COLLEGE, Ilogbo Elegba",5457,Ojo,Privately owned
"ST. GLADYS NUR/PRY SCHOOL, Alagbado",3285,Alimosho,Privately owned
"ST. GLORIAS NUR/PRY SCHOOL, Maryland",11668, Ikeja,Privately owned
"ST. GREGORY S COLLEGE, Ikoyi",5577,Eti-Osa,Privately owned
"ST. GREGS NURSERY AND PRIMARY, Itire",3670,Surulere,Privately owned
"ST. JOHNS ANG. NUR/PRY SCHOOL,    Aroloya",1904,Lagos-Island,State owned
"ST. JOHNS SCHOOL NURSERY & PRIMARY,  Mushin",3708, Mushin,Privately owned
"ST. JOSEPH NUR/PRY SCHOOL, Agege",3812,Agege,Privately owned
ST. JOSEPH R.C.M PRY SCHOOL,2727,Epe,State owned
"ST. JOSEPH RCM PRY. SCHOOL, Imope",2732,Epe,State owned
"ST. JOSEPHS JUNIOR SEC. SCHL, Surulere",635, Mushin,State owned
"ST. JOSEPHS R.C.M PRY SCHOOL, Ibonwon",2558,Epe,State owned
"ST. JOSHUA NURSERY & PRIMARY SCHOOL, Egan",3420,Alimosho,Privately owned
"ST. JUDES PRIVATE SCHOOL, Festac Town",3123,Amuwo-Odofin,Privately owned
"ST. JUDES PRIVATE SECONDARY SCHOOL, Festac Town",5596,Amuwo-Odofin,Privately owned
"ST. KIZITO'S CATHOLIC PRY SCHOOL II, Iju Station",2643,Ifako/Ijaiye,State owned
"ST. KIZITOS CATHOLIC PRIMARY SCHOOL I,  Iju-Station",2625,Ifako/Ijaiye,State owned
"ST. KIZITOS COMPUTER CENTRE,  Iju-Station",2624,Ifako/Ijaiye,State owned
"ST. LOIUS NURSERY & PRIMARY SCHOOL, Egbeda",3824,Alimosho,Privately owned
"ST. LOUIS COLLEGE, Egbeda",105812,Alimosho,Privately owned
ST. LUKES JUNIOR GRAMMAR SCHOOL,12433, Shomolu,State owned
"ST. MARGARET SECONDARY SCHOOL, Agboju",5503,Amuwo-Odofin,Privately owned
"ST. MARGARETS NURSERY & PRIMARY SCHOOL, Ipakodo",5280,Ikorodu,Privately owned
"ST. MARK COLLEGE, Agege",7694,Agege,Privately owned
"ST. MARTINS CATHOLIC NURSERY & PRIMARY SCHOOL, Surulere",3481,Surulere,Privately owned
"ST. MARY'S  PRIVATE SCHOOL, Broad Street",3701,Lagos-Island,Privately owned
"ST. MARYS ANGLICAN PRY SCHOOL, Idoluwo-Ile",2513,Ojo,State owned
"ST. MARYS CONVENT SCHOOL, Popo Aguda",1901,Lagos-Island,State owned
"ST. MARYS GIRLS SCHOOL,  Lagos",1884,Lagos-Island,State owned
"ST. MICHAEL ALABSTARS COLLEGE, Ajara-Topa",4561, Badagry ,Privately owned
"ST. MICHAEL INTERNATIONAL SCHOOL, Ajara",4557, Badagry ,Privately owned
"ST. MICHAEL NUR/PRY, Sabo-Ilaje",3469,Ojo,Privately owned
"ST. MICHAEL NURSERY & PRIMARY SCHOOL, Akowonjo",4891,Alimosho,Privately owned
"ST. MICHAELS ANG. PRY SCHL I,  Lagbade",2576,Epe,State owned
"ST. MICHAELS ANG. PRY SCHOOL II,  Lagbade",2577,Epe,State owned
"ST. MICHAELS NUR/PRY SCHOOL II, Ojo",2507,Ojo,State owned
"ST. MICHEAL DEE CHILDREN SCHOOL, Ogba",49395, Ikeja,Privately owned
"ST. MONICA MONTESSORI CHILDRENS SCHOOL, Isolo",3087,Oshodi-Isolo,Privately owned
"ST. MONICA SECONDARY SCHOOL, Ilasamaja",3194,Oshodi-Isolo,Privately owned
"ST. NICHOLAS PRIVATE SCHOOL, Ikeja",4623, Ikeja,Privately owned
ST. PATRICKS  CATHOLIC PRY SCHOOL -SABO,1961,Lagos-Mainland,State owned
"ST. PATRICKS (RCM) PRY SCHOOL, Iragbo-Iragon",446, Badagry ,State owned
ST. PATRICKS JUNIOR GRAMMAR SCHOOL,12258,Epe,State owned
ST. PATRICKS SENIOR GRAMMAR SCHOOL,12257,Epe,State owned
"ST. PAUL AFRICAN PRY SCHOOL, Ese-Offin",12403,Ojo,State owned
"ST. PAUL CATHOLIC NUR/PRY  SCHL, Ebute-Metta",1924,Lagos-Mainland,State owned
"ST. PAULS ANGLICAN PRIMARY SCHOOL, Mafoloku",2393,Oshodi-Isolo,State owned
"ST. PAULS COMPREHENSIVE COLLEGE, Mile-12",3127,Kosofe,Privately owned
